datetime,machineID,errorID
01-03-2015 07:00,1,error1
01-03-2015 20:00,1,error3
01-04-2015 06:00,1,error5
01-10-2015 15:00,1,error4
1/22/2015 10:00:00 AM,1,error4
1/25/2015 3:00:00 PM,1,error4
1/27/2015 4:00:00 AM,1,error1
03-03-2015 22:00,1,error2
03-05-2015 06:00,1,error1
3/20/2015 6:00:00 PM,1,error1
3/26/2015 1:00:00 AM,1,error2
3/31/2015 11:00:00 PM,1,error1
4/19/2015 6:00:00 AM,1,error2
4/19/2015 6:00:00 AM,1,error3
4/29/2015 7:00:00 PM,1,error4
05-04-2015 23:00,1,error2
05-12-2015 09:00,1,error1
5/21/2015 7:00:00 AM,1,error4
5/24/2015 2:00:00 AM,1,error3
5/25/2015 5:00:00 AM,1,error1
06-09-2015 06:00,1,error3
6/18/2015 6:00:00 AM,1,error5
6/23/2015 10:00:00 AM,1,error3
8/23/2015 7:00:00 PM,1,error1
8/30/2015 1:00:00 AM,1,error3
09-01-2015 06:00,1,error5
9/13/2015 5:00:00 PM,1,error2
9/15/2015 6:00:00 AM,1,error1
10-01-2015 23:00,1,error1
10/15/2015 5:00:00 AM,1,error1
10/16/2015 3:00:00 AM,1,error3
10/16/2015 6:00:00 AM,1,error2
10/16/2015 6:00:00 AM,1,error3
11-10-2015 04:00,1,error3
12/15/2015 6:00:00 AM,1,error5
01-12-2015 14:00,2,error4
02-06-2015 10:00,2,error4
02-11-2015 11:00,2,error1
03-11-2015 22:00,2,error2
3/18/2015 6:00:00 AM,2,error1
3/18/2015 6:00:00 AM,2,error2
3/18/2015 6:00:00 AM,2,error3
3/26/2015 3:00:00 AM,2,error2
3/27/2015 5:00:00 PM,2,error3
4/17/2015 6:00:00 AM,2,error2
4/17/2015 6:00:00 AM,2,error3
05-07-2015 08:00,2,error2
5/13/2015 10:00:00 AM,2,error1
5/30/2015 8:00:00 PM,2,error5
6/18/2015 2:00:00 PM,2,error5
7/18/2015 6:00:00 AM,2,error4
7/20/2015 10:00:00 AM,2,error2
7/23/2015 2:00:00 AM,2,error1
08-03-2015 10:00,2,error1
8/18/2015 10:00:00 PM,2,error5
8/23/2015 10:00:00 AM,2,error2
8/28/2015 8:00:00 AM,2,error2
9/16/2015 1:00:00 PM,2,error4
9/19/2015 9:00:00 PM,2,error4
9/23/2015 7:00:00 PM,2,error2
11-08-2015 21:00,2,error3
12/28/2015 6:00:00 AM,2,error2
12/28/2015 6:00:00 AM,2,error3
01-06-2015 06:00,3,error2
01-06-2015 06:00,3,error3
01-08-2015 02:00,3,error1
01-11-2015 05:00,3,error1
01-11-2015 19:00,3,error3
1/28/2015 5:00:00 PM,3,error4
02-05-2015 06:00,3,error1
2/23/2015 6:00:00 AM,3,error4
03-02-2015 11:00,3,error4
3/21/2015 4:00:00 PM,3,error3
04-06-2015 16:00,3,error2
04-09-2015 09:00,3,error3
4/26/2015 7:00:00 PM,3,error2
05-06-2015 19:00,3,error4
5/24/2015 3:00:00 PM,3,error2
06-10-2015 21:00,3,error4
6/27/2015 7:00:00 AM,3,error1
07-09-2015 21:00,3,error4
7/18/2015 7:00:00 PM,3,error1
7/20/2015 6:00:00 AM,3,error2
7/20/2015 6:00:00 AM,3,error3
7/25/2015 11:00:00 PM,3,error4
7/29/2015 5:00:00 PM,3,error1
08-02-2015 15:00,3,error1
08-07-2015 04:00,3,error2
09-08-2015 04:00,3,error1
9/13/2015 11:00:00 AM,3,error1
9/18/2015 10:00:00 AM,3,error2
10-01-2015 02:00,3,error5
10-03-2015 06:00,3,error2
10-03-2015 06:00,3,error3
10/23/2015 2:00:00 PM,3,error3
10/31/2015 11:00:00 PM,3,error2
11-07-2015 15:00,3,error4
11/20/2015 11:00:00 PM,3,error1
12-02-2015 06:00,3,error2
12-02-2015 06:00,3,error3
12/19/2015 10:00:00 PM,3,error5
12/25/2015 12:00:00 PM,3,error1
01-04-2015 03:00,4,error3
01-06-2015 01:00,4,error1
01-11-2015 14:00,4,error3
1/13/2015 6:00:00 PM,4,error2
1/14/2015 9:00:00 PM,4,error1
1/16/2015 6:00:00 AM,4,error2
1/16/2015 6:00:00 AM,4,error3
02-12-2015 15:00,4,error2
2/15/2015 6:00:00 AM,4,error1
2/27/2015 9:00:00 AM,4,error1
3/19/2015 5:00:00 AM,4,error2
3/22/2015 10:00:00 PM,4,error1
04-01-2015 06:00,4,error2
04-01-2015 06:00,4,error3
04-06-2015 14:00,4,error1
05-03-2015 17:00,4,error2
6/23/2015 8:00:00 AM,4,error2
7/15/2015 6:00:00 AM,4,error2
7/15/2015 6:00:00 AM,4,error3
7/24/2015 5:00:00 AM,4,error2
7/27/2015 5:00:00 PM,4,error4
08-10-2015 06:00,4,error4
8/29/2015 6:00:00 AM,4,error1
09-05-2015 06:00,4,error2
10-10-2015 07:00,4,error1
10/13/2015 6:00:00 AM,4,error2
10/13/2015 6:00:00 AM,4,error3
10/17/2015 8:00:00 PM,4,error1
10/28/2015 4:00:00 PM,4,error3
11-12-2015 16:00,4,error3
12-04-2015 06:00,4,error1
01-08-2015 06:00,5,error2
01-08-2015 06:00,5,error3
1/31/2015 7:00:00 PM,5,error1
2/22/2015 6:00:00 AM,5,error1
2/24/2015 2:00:00 PM,5,error3
03-09-2015 10:00,5,error2
3/18/2015 10:00:00 PM,5,error1
3/21/2015 3:00:00 PM,5,error4
3/21/2015 4:00:00 PM,5,error2
04-06-2015 02:00,5,error5
04-08-2015 06:00,5,error1
05-08-2015 15:00,5,error1
5/17/2015 12:00:00 AM,5,error1
06-01-2015 22:00,5,error1
06-05-2015 01:00,5,error4
06-12-2015 18:00,5,error3
6/22/2015 6:00:00 AM,5,error2
6/22/2015 6:00:00 AM,5,error3
6/23/2015 12:00:00 PM,5,error3
07-12-2015 22:00,5,error1
7/16/2015 4:00:00 AM,5,error3
7/26/2015 8:00:00 AM,5,error1
7/29/2015 9:00:00 AM,5,error4
08-11-2015 02:00,5,error4
8/19/2015 12:00:00 PM,5,error2
8/30/2015 3:00:00 AM,5,error2
09-05-2015 06:00,5,error1
09-06-2015 06:00,5,error5
9/27/2015 8:00:00 PM,5,error1
10-05-2015 06:00,5,error2
10-05-2015 06:00,5,error3
11/19/2015 6:00:00 AM,5,error1
12-04-2015 02:00,5,error1
12-04-2015 18:00,5,error5
12/15/2015 4:00:00 PM,5,error1
12/20/2015 5:00:00 AM,5,error4
12/21/2015 9:00:00 AM,5,error4
12/30/2015 9:00:00 AM,5,error2
1/14/2015 12:00:00 PM,6,error2
1/26/2015 12:00:00 PM,6,error1
02-03-2015 22:00,6,error2
3/29/2015 8:00:00 PM,6,error4
04-05-2015 21:00,6,error1
4/23/2015 4:00:00 PM,6,error3
4/25/2015 4:00:00 PM,6,error1
05-01-2015 22:00,6,error2
5/24/2015 8:00:00 AM,6,error5
06-01-2015 01:00,6,error2
06-03-2015 07:00,6,error2
08-11-2015 04:00,6,error2
8/20/2015 6:00:00 AM,6,error4
9/14/2015 10:00:00 AM,6,error2
9/18/2015 8:00:00 PM,6,error1
9/26/2015 8:00:00 AM,6,error2
10-05-2015 21:00,6,error1
10/15/2015 4:00:00 PM,6,error3
10/21/2015 10:00:00 PM,6,error1
10/23/2015 7:00:00 PM,6,error2
11/13/2015 3:00:00 AM,6,error1
12-07-2015 06:00,6,error4
12-10-2015 22:00,6,error3
1/17/2015 8:00:00 PM,7,error1
1/21/2015 7:00:00 AM,7,error3
1/23/2015 6:00:00 AM,7,error2
1/23/2015 6:00:00 AM,7,error3
1/23/2015 6:00:00 AM,7,error5
02-07-2015 06:00,7,error1
03-09-2015 18:00,7,error4
03-10-2015 22:00,7,error2
3/21/2015 5:00:00 AM,7,error3
3/27/2015 10:00:00 PM,7,error2
04-12-2015 08:00,7,error1
4/23/2015 6:00:00 AM,7,error1
4/23/2015 9:00:00 AM,7,error4
05-08-2015 06:00,7,error5
5/13/2015 11:00:00 AM,7,error2
5/23/2015 6:00:00 AM,7,error2
5/23/2015 6:00:00 AM,7,error3
6/24/2015 8:00:00 AM,7,error3
6/29/2015 12:00:00 AM,7,error1
